uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json
44e2bdb7-13e3-4156-8576-8326cdd20459,bft Tankstelle,"",Schellengasse ,53,36304,Alsfeld,50.7520089,9.2790394,1970-01-01 01:00:00+01,{}
0e18d0d3-ed38-4e7f-a18e-507a78ad901d,OIL! Tankstelle München,OIL!,Eversbuschstraße 33,,80999,München,48.1807,11.4609,1970-01-01 01:00:00+01,"{""openingTimes"":[{""applicable_days"":192,""periods"":[{""startp"":""07:00"",""endp"":""20:00""}]},{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}"
ad812258-94e7-473d-aa80-d392f7532218,bft Bonn-Bad Godesberg,bft,Godesberger Allee,55,53175,Bonn,50.6951,7.14276,1970-01-01 01:00:00+01,"{""overrides"":[{""startp"":""2025-05-01 06:00"",""endp"":""2025-05-01 20:00"",""is_close"":false},{""startp"":""2025-05-29 06:00"",""endp"":""2025-05-29 20:00"",""is_close"":false},{""startp"":""2025-06-09 06:00"",""endp"":""2025-06-09 20:00"",""is_close"":false},{""startp"":""2025-06-19 06:00"",""endp"":""2025-06-19 20:00"",""is_close"":false}],""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}"
5ffe1e13-ef40-4695-aeb2-4612d58fac17,Esso Tankstelle,ESSO,HEERSTR. 285, ,13595,BERLIN,52.514924,13.185008,2014-03-18 16:45:31+01,{}
51d4b61d-a095-1aa0-e100-80009459e03a,Supermarkt-Tankstelle LEER NUETTERMOORER STR. 2,Supermarkt-Tankstelle,NUETTERMOORER STR. 2,,26789,LEER,53.25993,7.455417,2014-03-18 16:45:31+01,{}
8485d9a1-fb9b-476e-9cc3-17d00dcdcee0,Globus Handelshof St. Wendel GmbH & Co. KG Betriebsstätte Güdingen,Globus SB Warenhaus,Wolfsau,4,66130,Saarbrücken,49.20958,7.02703,2014-03-18 16:45:31+01,{}
63adaaa5-5735-49e6-8c42-db907494a8a1,EC Tank Treffer,Freie Tankstelle,Anton-Jaumannstrasse,1,86675,Buchdorf,48.785358,10.814161,2014-03-18 16:45:31+01,{}
ec2215ca-4798-43fd-8c88-74862f85a4db,TOTAL KOECKERN,TOTAL,BAB OST / A 9,"",06794,KOECKERN,51.606403,12.185646,2014-03-18 16:45:31+01,{}
3579aceb-8134-49f6-ab8b-f437b9d6b1bf,"Aral Tankstelle, ATR Südbaden GmbH",ARAL,A,5,79415,Bad Bellingen,47.738205,7.551952,2014-03-18 16:45:31+01,{}
5dd931bf-4bb3-44ee-a0df-358200fdd6a7,Guenther Tank,bft,Jechaer Weg,34,99706,Berka,51.355,10.9114,2014-03-18 16:45:31+01,"{""overrides"":[{""startp"":""2021-01-31 22:00"",""endp"":""2099-12-31 23:59"",""is_close"":true}]}"
