"id","latitude","longitude"
"node/42042357",48.6373219,8.8112267
"node/115926055",50.9800239,13.907706
"node/134286617",51.4877497,13.8796804
"node/177219959",50.5976164,8.445066
"node/252448466",49.7937551,11.1311445
"node/253277561",51.2932224,13.3571704
"node/255234627",48.2517602,9.0688715
"node/258359098",48.1742216,11.1254484
"node/259606807",47.9012107,7.6201892
"node/267283088",53.3901805,7.2276361
"node/268372551",50.0111981,10.2448633
"node/273484836",50.9964899,7.3760711
"node/274538121",48.0472981,12.5034009
"node/276065649",48.82833,12.5621295
"node/276664821",51.307629,13.552836
"node/277585456",47.5831162,10.6872008
"node/277696245",49.8739996,12.3284023
"node/279326547",53.6816569,7.0556541
"node/280208257",48.5463772,8.9469447
"node/280671849",48.8030953,9.9301211
"node/286541750",50.0980191,9.8811976
"node/290577447",48.9949803,10.885932
"node/295709539",47.9095089,9.2508021
"node/297136278",47.6776378,11.9635431
"node/297373615",48.621205,9.6557623
"node/307645742",51.6897254,7.8146617
"node/311162162",48.8492103,10.335773
"node/317855325",48.9536266,10.3239509
"node/327244783",48.6586022,9.6240963
"node/330451258",50.9047143,9.2407106
"node/332009179",53.9204128,13.2197688
"node/343430394",48.8723406,8.2091435
"node/345754349",53.5605559,9.5000352
"node/348127144",53.129717,9.3513785
"node/361211516",52.4817769,14.0879455
"node/380465701",52.9860233,8.5718083
"node/382042762",51.5938473,12.2293394
"node/416821576",47.8529884,8.3749901
"node/454630497",50.1375249,11.7965697
"node/497509379",48.5702855,11.9334598
"node/503449255",48.1799989,11.9276385
"node/528985601",48.5047059,8.4777035
"node/549965902",50.7942379,9.5608845
"node/603054442",48.746197,9.8623119
"node/661090022",51.5489193,13.2315041
"node/692768888",48.5328153,8.6813654
"node/765183770",49.4580607,9.102875
"node/777800953",51.264793,6.8536761
"node/919581876",50.6614318,8.0221003
"node/924531656",50.2874925,10.4199975
"node/958336122",53.7248567,7.3732427
"node/1042031863",51.5708994,13.0511625
"node/1042032084",51.5755577,14.1369438
"node/1042032096",51.0630228,9.4195529
"node/1042032131",51.0005381,8.3080998
"node/1042032142",50.5669441,8.8697224
"node/1042032180",53.6997223,9.7405558
"node/1042032295",48.4247488,12.3442752
"node/1042032301",49.0647849,10.4012867
"node/1042032305",49.130491,11.4434233
"node/1042032306",48.2383347,12.9766674
"node/1042032307",48.8704282,10.5056867
"node/1042032337",48.9611414,10.2358987
"node/1042032364",50.5658416,7.6533082
"node/1042032373",48.7919426,8.185833
"node/1042032390",51.3752262,8.9832956
"node/1042034446",52.2788449,9.0845767
"node/1042034458",52.2912445,7.387193
"node/1042034582",52.7232018,7.3263302
"node/1048181974",51.5422858,8.5798914
"node/1075475407",49.1756675,8.1387349
"node/1224672957",49.2155595,11.4014445
"node/1277275634",49.3289492,11.4795203
"node/1277366060",49.3898713,11.426117
"node/1427892124",49.9100276,7.9080792
"node/1537869085",48.5568689,9.8212052
"node/1573048112",47.7390205,12.1163311
"node/1710093507",48.4861572,10.2830058
"node/1861923056",48.413662,9.763357
"node/1991761923",49.3513988,9.120519
"node/2136037888",52.6635094,7.9313275
"node/2291493148",51.0854506,9.9194324
"node/2300621758",49.8374991,11.0473259
"node/2772019619",50.4902361,9.8478791
"node/2790124340",48.9521126,12.1475218
"node/2982615770",47.9267912,12.2871915
"node/2982667028",47.9462835,12.2043496
"node/3084175380",52.0838149,10.0179164
"node/3554808116",50.7077183,8.0832824
"node/3563817193",49.6972212,11.1412303
"node/3798340173",49.2905901,9.170837
"node/3798415034",52.6682064,8.3261595
"node/3875101915",47.7002691,10.0215063
"node/4441659208",51.6414026,7.4223896
"node/4443573046",53.328246,10.8331218
"node/4459621657",51.3727044,11.1437998
"node/4485018624",52.1592188,7.2413261
"node/4493823411",50.6091385,10.0877542
"node/4533336883",48.4336943,7.9719421
"node/4567005111",49.6899793,8.5845384
"node/4685702069",49.3516785,10.0758517
"node/4914251364",50.6044179,8.7289532
"node/5705908168",49.4089212,6.8853873
"node/5926449757",50.750554,9.2485979
"node/6176429075",48.6370731,8.7320662
"node/6176460414",47.8247867,11.7044006
"node/6177192107",50.243847,11.3578593
"node/6177238873",47.8517272,11.6667536
"node/6177265885",53.3749464,8.8502399
"node/6187902841",49.2106871,12.6601982
"node/6221495105",47.8323781,9.3018666
"node/6221546422",53.6713805,13.3981431
"node/6225155527",48.5545091,9.9017696
"node/6471970945",51.6368318,11.6149507
"node/8240032888",47.9147601,9.7101825
"node/9822891115",53.5341565,7.8848754
"node/10845458383",51.1283488,12.0119411
"node/10845496579",51.1256596,11.9956088
"node/11536379425",52.323347,10.5548653
