"id","latitude","longitude"
"node/17193023",49.5928616,11.0056
"node/18318938",52.1527188,9.9518083
"node/20830918",50.8323531,12.918914
"node/20833613",51.0493286,13.7381437
"node/20833623",53.550341,10.000654
"node/20953083",50.938361,6.959974
"node/20982927",53.0758196,8.8071646
"node/21315295",51.5380394,7.219985
"node/21687149",51.3406321,12.3747329
"node/24487450",54.3227085,10.135555
"node/25293125",51.5142273,7.4652789
"node/25327151",53.866444,10.684738
"node/25738881",49.7933723,9.9309779
"node/25763730",51.451283,6.62843
"node/26373169",50.7352621,7.1024635
"node/26769661",49.142291,9.218655
"node/27350363",51.4582235,7.0158171
"node/27418664",50.1106444,8.6820917
"node/29063084",50.8751175,8.0256131
"node/29774529",51.1981778,6.6916476
"node/29923357",50.9929303,7.1277379
"node/30137197",52.2646577,10.5236066
"node/30319497",51.6143815,7.1978546
"node/31172722",52.4205588,10.7861682
"node/31941291",49.7596208,6.6441878
"node/31985630",48.4919508,9.2114144
"node/33997995",52.1315889,11.6399609
"node/129992313",52.1503721,10.3593147
"node/240026265",51.521581,6.929204
"node/240028377",50.0820384,8.2416556
"node/240037709",52.0191005,8.531007
"node/240038130",50.9777974,11.0287364
"node/240041315",50.776351,6.083862
"node/240046032",48.890934,8.7025509
"node/240048753",51.3331205,6.5623343
"node/240052693",51.5110321,7.0960124
"node/240055326",51.434999,6.759562
"node/240056905",52.2719595,8.047635
"node/240058050",49.4093582,8.694724
"node/240060919",49.4892913,8.4673098
"node/240062631",51.1947131,6.4353792
"node/240063145",51.1798706,7.1943544
"node/240072040",50.1055002,8.7610698
"node/240072888",51.1721629,7.0845893
"node/240074718",49.872775,8.651177
"node/240090160",50.9281717,11.5879359
"node/240090728",51.264018,7.1780374
"node/240092010",47.9960901,7.8494005
"node/240093234",49.4432174,7.7689951
"node/240099833",51.4818111,7.2196635
"node/240102654",50.3533278,7.5943951
"node/240109189",52.510885,13.3989367
"node/240110547",51.3582945,7.473296
"node/240114473",51.7177044,8.752653
"node/240116263",49.9995205,8.2736253
"node/240120582",49.0068705,8.4034195
"node/240120926",49.0195333,12.0974869
"node/240125892",49.4704113,8.4381568
"node/240126753",51.2254018,6.7763137
"node/273510436",51.9625101,7.6251879
"node/277023297",53.1389753,8.2146017
"node/304997397",51.9063997,8.3782078
"node/660314734",53.5505392,8.5851945
"node/1530957491",49.234362,6.996379
"node/1559853166",48.3690341,10.8979522
"node/1569338041",49.453872,11.077298
"node/1575668118",51.4272925,6.8829192
"node/1583294719",51.3157833,9.4978479
"node/1602111978",49.4772475,10.9893626
"node/1613672847",51.4696137,6.8514435
"node/1628927045",51.7567447,14.3357307
"node/1651888734",52.3744779,9.7385532
"node/1651889631",51.0324743,6.9881194
"node/1667005776",51.4824354,11.9712985
"node/1674026139",48.7784485,9.1800132
"node/1674619101",51.5328328,9.9351811
"node/1675861081",50.132881,8.9169797
"node/1684321651",54.0886707,12.1400211
"node/1695218178",52.4009309,13.0591397
"node/1699831958",48.3984968,9.9912458
"node/1700534808",48.1371079,11.5753822
"node/2069498986",51.681281,7.8191185
"node/2110382406",48.7630165,11.4250395
