"id","latitude","longitude"
"node/122493",53.1296146,8.1970173
"node/128963",48.1763357,11.427178
"node/128970",48.1839437,11.4347198
"node/129001",48.2044147,11.4462405
"node/129082",48.2313493,11.5424242
"node/129095",48.2524286,11.5328508
"node/129100",48.2524403,11.5325551
"node/129141",48.3124994,11.6130038
"node/129155",48.3238102,11.6362915
"node/129177",48.3335504,11.6970532
"node/129180",48.3342048,11.6995339
"node/129197",48.3471582,11.7215534
"node/129230",48.3876933,11.7800117
"node/129385",48.57329,12.1329255
"node/129386",48.5738399,12.1343906
"node/129543",48.6561312,12.4683145
"node/129573",48.6629645,12.5259045
"node/129639",48.6961766,12.6748082
"node/129778",48.7971235,12.9052774
"node/129934",48.1826923,11.4302021
"node/130105",48.2337956,11.3479814
"node/131118",53.4250112,9.9278571
"node/131407",54.169217,9.0862107
"node/131464",53.9601325,9.4911912
"node/138131",48.3078027,11.2074832
"node/138552",48.3145269,11.6175352
"node/138575",48.3206978,11.6303649
"node/139299",48.4266149,11.5895906
"node/139417",48.5752493,11.5928201
"node/139514",48.7094902,11.4852317
"node/139542",48.769705,11.4607785
"node/139545",48.775022,11.4608635
"node/139573",48.8158849,11.4674719
"node/139898",53.0063898,8.7099312
"node/139946",52.7224475,8.1729807
"node/139962",52.6544486,8.1615031
"node/140486",53.0473663,8.5647258
"node/140512",53.0601302,8.4702153
"node/145886",52.2570036,7.7168836
"node/145930",52.3209003,7.4346858
"node/146607",48.2266956,11.5500575
"node/146622",48.2288244,11.5890406
"node/146729",48.1650782,11.7429358
"node/146754",48.1378711,11.7589518
"node/146774",48.1038335,11.7532735
"node/146886",48.0271246,11.6408955
"node/147018",48.0368424,11.6037748
"node/147086",48.1246264,11.5124091
"node/147162",48.0131299,11.6658899
"node/147826",53.879193,10.6606136
"node/147848",53.9044726,10.6851287
"node/147851",53.9064901,10.6874308
"node/147870",53.9140762,10.7077904
"node/147896",53.9520902,10.7474158
"node/147958",53.7863317,10.4199559
"node/148040",53.6180795,10.2340809
"node/148112",53.5096919,10.047011
"node/148192",53.3838225,10.0185646
"node/148197",53.3831575,10.0207784
"node/148254",53.3729918,9.8602635
"node/148297",54.0551396,10.7369359
"node/148311",54.0966477,10.7775282
"node/154793",47.8952663,11.7247213
"node/154830",47.8662664,11.7928773
"node/154833",47.8652055,11.7981957
"node/155434",47.8304056,11.9058857
"node/155493",47.8204965,12.0144317
"node/155528",47.8106074,12.0914207
"node/155537",47.8067645,12.0947944
"node/155618",47.7377186,12.1280474
"node/159983",50.3555867,7.4793613
"node/160021",50.4102028,7.2365832
"node/160029",50.3852495,7.2737539
"node/160116",50.9245477,6.8500697
"node/160124",50.9293889,6.8474281
"node/160165",50.914463,6.8456783
"node/160209",51.0393643,7.0005214
"node/160218",51.0377665,6.9844458
"node/160247",51.3144879,7.2660749
"node/160321",51.4669334,7.196481
"node/160328",51.4577906,7.2883183
"node/160400",51.5151858,7.3891044
"node/160497",51.0370742,6.9656301
"node/160508",51.0279676,6.9489344
"node/160586",51.2079857,7.0406942
"node/160637",51.2928637,6.8979953
"node/160661",51.2953514,6.805772
"node/160719",51.4381981,7.0334104
"node/160725",51.4513857,7.0395758
"node/162756",50.0523038,8.2468814
"node/162886",49.935264,7.9411775
"node/162902",49.9311582,7.9288451
"node/162911",49.9322158,7.9111007
"node/162921",49.929851,7.8742145
"node/163015",49.9959254,7.6895015
"node/163174",49.8932523,7.9445021
"node/163293",49.5495926,8.3150626
"node/163433",48.7715237,9.0286205
"node/163654",50.0747116,7.6244951
"node/163688",50.3552877,7.4895745
"node/163711",50.2406477,7.5141558
"node/163781",49.4714721,8.3128171
"node/163825",49.3312562,8.5029914
"node/163830",49.332263,8.5443126
"node/163836",49.3265342,8.5639183
"node/163976",50.3168759,7.3104894
"node/164278",51.4933794,7.3864184
"node/164290",51.4974188,7.3899503
"node/164304",51.4955206,7.4031921
"node/164407",51.4433451,7.4929033
"node/164420",51.427906,7.5280763
"node/164462",51.4582751,7.3494978
"node/164480",51.4587751,7.3613097
"node/164624",51.4577414,7.2325529
"node/164686",51.5552887,6.9803321
"node/164721",51.278974,6.8100529
"node/164737",51.2909279,6.7950171
"node/164754",51.2880516,6.8028719
"node/164773",51.3232688,6.8302551
"node/164790",51.4137358,6.9724683
"node/164821",51.2715363,6.7597455
"node/164896",51.2636812,6.6439663
"node/164913",51.4355561,6.5977786
"node/164919",51.4315717,6.6050685
"node/164922",51.3979114,6.6039504
"node/165265",51.0862657,7.1329782
"node/165327",51.2258949,7.2375018
"node/165385",51.3169894,7.2668039
"node/165474",51.4146037,7.2618341
"node/165529",50.9996095,6.8975759
"node/165534",51.0055637,6.8801371
"node/165550",50.9803784,6.8522851
"node/165636",51.1769578,6.711069
"node/165645",51.1788713,6.6768301
"node/165656",51.3408195,6.6245131
"node/165821",51.380036,6.2404474
"node/165828",51.3877248,6.2674523
"node/165864",51.4278399,6.5411026
"node/165877",51.3656451,6.6265251
"node/165890",51.2857685,6.6357467
"node/165971",51.4635624,7.0640874
"node/165982",51.4715861,7.1102163
"node/166001",51.5842921,7.1979391
"node/167489",50.1882896,6.90802
"node/167502",50.2376296,7.0816262
"node/167580",50.526306,7.1887163
"node/167595",50.5896176,7.0395749
"node/167667",50.7684009,6.8290248
"node/167725",50.8121167,6.7892471
"node/227903",48.5819265,11.5954832
"node/234128",51.3125198,7.2586638
"node/234134",51.3132673,7.2728915
"node/234155",51.289404,7.2036187
"node/234364",51.2563174,7.1104561
"node/234419",51.1890161,6.7765424
"node/234691",48.597294,11.6358475
"node/235977",48.7522015,11.8688582
"node/235979",48.752938,11.8697505
"node/236142",48.993436,12.0617317
"node/236161",49.0211681,12.0690608
"node/236167",49.0265858,12.0712379
"node/236182",49.038883,12.0928385
"node/237437",48.2364882,11.3428447
"node/237501",48.2797573,11.2719409
"node/237514",48.309751,11.2043416
"node/238170",48.4455002,10.207631
"node/238193",48.4642699,10.124241
