"id","latitude","longitude"
"node/10862294",48.355178,10.8930876
"node/11298382",48.1502328,10.9810559
"node/11298518",47.8452213,11.1430287
"node/11305402",48.1467398,10.5939468
"node/11305526",48.2640954,10.607113
"node/11305593",48.1762316,10.5980597
"node/11305608",48.2271244,10.5912509
"node/11305646",48.1984788,10.5981748
"node/11420198",48.4251243,10.4268158
"node/13354966",48.7385898,9.3003518
"node/13620866",47.985407,10.1869867
"node/13624179",47.819606,10.4390919
"node/13796529",48.0812007,10.8548739
"node/13796546",48.0535972,10.8694838
"node/13796591",48.5654031,11.2594688
"node/13796818",48.0526616,11.0899427
"node/13796820",47.9828753,11.0971593
"node/13796821",47.9502678,11.1080486
"node/13801897",47.5752782,9.6124649
"node/13801901",47.544202,9.6808298
"node/13802089",48.8753722,11.1679723
"node/13803230",48.6063422,11.5733318
"node/13876509",47.8220816,12.487299
"node/13876512",47.9048551,12.3018108
"node/13876514",47.8888133,12.0849115
"node/13876515",47.9421742,12.0415581
"node/13876516",47.9895751,11.9935104
"node/13878759",47.77679,11.1405351
"node/13895742",50.1306366,12.0130957
"node/13895973",50.0510947,12.0338916
"node/13896024",50.0044648,12.082401
"node/13924098",49.6704625,12.1539802
"node/13924141",49.7944371,12.1653334
"node/13925786",47.4399924,11.265749
"node/13925787",47.4830341,11.2384212
"node/13927006",47.4915407,11.0970176
"node/13929049",47.6017819,11.187959
"node/13929109",47.5596144,11.1393003
"node/14012290",49.1220574,12.1251367
"node/14012294",49.362762,12.1013364
"node/14017100",48.2475801,10.3585488
"node/14017106",48.117728,10.4519704
"node/14017109",48.0449169,10.5016383
"node/14332499",48.2671047,12.1598381
"node/14334687",48.6828553,12.6950655
"node/14334692",48.5737124,13.4504744
"node/14405187",48.7206641,11.3304832
"node/14405188",48.7212768,11.2590305
"node/15431109",49.2979431,10.5777328
"node/15431113",49.4179773,10.4237258
"node/15432249",49.4252777,11.0176745
"node/15477970",49.2002517,10.6800339
"node/15477972",49.1206793,10.7556064
"node/17658611",49.8144694,8.6259571
"node/17658613",49.7604953,8.6036351
"node/17658624",49.7016019,8.6132493
"node/17658630",49.680791,8.616808
"node/17658651",49.5910776,8.6487431
"node/19087937",48.9286309,8.2724003
"node/19087940",48.8885741,8.2405252
"node/19092907",48.5036975,8.3720364
"node/21294574",50.109855,11.4518382
"node/21301567",52.2585366,8.2039781
"node/21302157",52.5143746,13.3364504
"node/21303996",52.202246,8.5743329
"node/21304009",52.1967257,8.6439681
"node/21306328",52.3764871,9.9742264
"node/21308179",52.4492981,10.3217888
"node/21322676",48.8605562,8.2156411
"node/21387034",48.4045788,8.0101727
"node/21387066",48.299475,8.0560897
"node/21387242",48.2119914,8.2330817
"node/21412509",49.4745688,8.6030889
"node/21412516",49.4487505,8.5802752
"node/21412520",49.553461,8.665534
"node/21412528",49.5093513,8.6336719
"node/21438697",50.1462694,11.0589522
"node/21474012",53.723036,9.9075065
"node/21618706",48.3439543,8.3982995
"node/21661361",52.7839495,9.2311697
"node/21769883",47.9977308,7.8412948
"node/22314914",53.5065706,8.859299
"node/22315007",53.4500852,9.4990755
"node/24965627",53.0539423,8.8871732
"node/25149874",53.8675937,10.6698551
"node/25233549",48.4964698,9.2096132
"node/25242218",49.0023942,8.3628863
"node/25268471",52.9207954,9.237876
"node/25268512",52.4221569,9.4514075
"node/25346731",51.056018,13.7081312
"node/25397500",51.0402452,13.7320768
"node/25436271",49.1244292,8.5897927
"node/25436705",49.2433584,8.6522152
"node/25436789",49.3793639,8.6753555
"node/25439439",49.4792363,8.4694107
"node/25479409",48.9838385,8.7814485
"node/25479601",49.0155171,8.6048083
"node/25480391",49.2258963,8.3646891
"node/25572169",50.0997081,11.379828
"node/25572703",50.0908405,11.653602
"node/25601842",50.1043873,8.6444435
"node/25627273",49.9121663,8.4946956
"node/25723981",51.5570255,7.5852785
"node/25731497",50.1467401,9.0115264
"node/25731502",50.1621748,9.0581168
"node/25743078",51.5188789,7.3275594
"node/25759702",53.0018508,8.7910235
"node/25812955",48.6448896,8.3514448
"node/25813183",48.460296,8.4287108
"node/25814047",48.46759,8.410963
"node/25895645",51.9077658,8.6114163
"node/25895646",51.8240084,8.6616455
"node/25895648",51.7703723,8.7137798
"node/25900008",51.5532388,7.687776
"node/25900368",51.6452218,8.510302
"node/25972727",48.8939815,8.7032583
"node/26025172",53.3428686,8.7852965
"node/26112734",52.1965102,8.7139521
"node/26124376",52.5180135,13.2844201
"node/26195653",48.9479046,9.1371243
"node/26486884",48.0882978,8.5851973
"node/26487859",48.9537401,8.5728082
"node/26490141",53.0528092,8.6294626
"node/26496854",53.0761509,8.7860771
"node/26562398",53.5350147,8.5993743
"node/26575339",47.9862814,12.1356892
"node/26594671",48.8268571,8.7113133
"node/26594930",48.55539,8.7279041
"node/26600620",53.5591518,9.8852809
"node/26600701",51.5628862,12.9909587
"node/26603219",52.4214071,13.1798077
"node/26617815",48.9530851,8.8458301
"node/26773593",49.9943139,8.3140533
"node/26867226",49.598578,8.4784826
"node/26886068",49.6889329,8.4504704
"node/26943869",52.5101503,13.2276304
"node/26945519",50.7150242,7.1593141
"node/27138043",49.514242,8.6567606
"node/27144482",49.6457684,8.4581969
"node/27144516",49.6351798,8.3566466
"node/27144517",49.659529,8.4090324
"node/27175627",49.6590497,8.5660491
"node/27214338",48.1183485,11.6318229
"node/27215654",52.4882479,13.2610104
"node/27312362",48.6904461,9.1926989
"node/27313373",50.0028834,9.0720973
"node/27318370",52.3944579,13.1272716
"node/27358206",47.8803539,7.6464809
"node/27358967",49.8428494,7.8667379
"node/27381626",49.1889572,9.2199268
"node/27381920",50.0350546,10.2120347
"node/27381931",50.1317691,10.1377468
"node/27385328",49.1431403,9.2076637
"node/27385329",49.2313702,9.1999497
"node/27394797",53.2446036,8.1910167
"node/27394802",53.3990747,8.1502302
"node/27394918",53.4900687,8.0316614
"node/27396840",52.3825232,13.1220475
"node/27401001",53.7694838,7.6890193
"node/27431960",50.4896946,7.3331913
"node/27434715",50.5138047,7.3107386
"node/27453687",49.8021139,9.9362469
"node/27464973",49.9688103,7.8834854
"node/27556933",52.5074342,13.3325608
"node/27586255",52.5256744,13.2414191
"node/27612110",50.1438815,8.6918498
"node/27618747",50.1421988,8.6844969
"node/28121239",50.1310808,8.6840203
"node/28126956",50.9417015,6.9738248
"node/28156535",48.8132118,9.3703092
"node/28201702",48.1959252,11.5718148
"node/28201749",48.1868168,11.5727203
"node/28202314",48.1809043,11.5731525
"node/28205595",48.2043435,11.5693933
"node/28205626",48.2134294,11.5549136
"node/28238954",48.1774989,11.5290587
"node/28348441",48.7080024,9.464017
"node/28348479",48.7160521,9.5263897
"node/28348513",48.7086079,9.5857099
"node/28348570",48.6967865,9.7037748
"node/28348584",48.6836164,9.7604024
"node/28348602",48.6308806,9.8216097
"node/28384804",52.0225015,8.8949914
"node/28453251",48.6067439,9.0931544
"node/28491585",50.4759342,11.9543698
"node/28783089",50.1093939,8.6749413
"node/28830153",52.6753854,13.5919415
"node/28830281",52.6152148,13.4694647
"node/28889955",48.6447236,9.0086143
"node/28889958",48.6366913,9.0072626
"node/29040713",53.5082936,9.5768845
"node/29040843",53.5960704,9.4775887
"node/29041099",53.7679539,9.0584937
"node/29045595",52.5423332,13.3501546
"node/29046450",52.5058669,13.3330236
"node/29046970",52.5038223,13.3314365
"node/29046976",52.4920843,13.3310064
"node/29046979",52.4873298,13.3310103
"node/29046999",52.4721217,13.3287301
"node/29047043",52.4653254,13.3282601
"node/29047045",52.461481,13.3250946
"node/29047047",52.4567983,13.3209344
"node/29070457",52.5344077,13.3293873
"node/29123754",52.5099869,13.2722217
"node/29123761",52.5162154,13.2592357
"node/29123763",52.511837,13.3105328
"node/29123764",52.5118853,13.3221613
"node/29164943",49.6631062,10.0736945
"node/29190897",52.5754161,13.3384251
"node/29271563",50.1117146,8.6558163
"node/29271568",50.1200336,8.6527636
"node/29276567",49.9055365,9.8139812
"node/29282396",51.8444649,8.9710978
"node/29282420",51.8815659,8.9551479
"node/29363817",52.5814053,9.7264354
"node/29363847",52.5224385,9.7481226
"node/29363849",52.4508691,9.7357175
"node/29363851",52.4236556,9.7072201
"node/29366548",52.8340052,13.7977826
"node/29494301",52.5153554,13.4181732
"node/29497638",52.478987,13.3436736
"node/29502808",48.9754417,9.642579
"node/29502812",48.9874486,9.7010109
"node/29502822",49.09676,9.7675037
"node/29530137",47.6532337,9.4737004
"node/29584141",49.1080592,9.7336683
"node/29803407",50.094362,8.6056814
"node/29803428",52.501288,13.478367
"node/29805967",52.5097832,13.4961404
"node/29833469",52.4885755,13.3405436
"node/29858596",52.5436548,13.5413545
"node/29881358",52.5126122,13.5752134
"node/29914588",48.8067617,10.5977869
"node/29918297",52.5120903,13.6104126
"node/29922973",47.8727485,9.6380407
"node/29922993",47.9250123,9.7520814
"node/29930394",50.5283335,8.661971
"node/29976784",52.9165346,8.8100791
"node/30007104",53.061219,8.8878228
"node/30049622",50.1137833,8.6792621
"node/30049623",50.1173865,8.679264
"node/30096205",50.1252224,8.6373458
"node/30209270",50.0542825,7.1346641
"node/30221936",50.0529322,8.5699146
"node/30229471",52.8533306,12.4500127
"node/30230059",52.5597359,13.0894796
"node/30231539",52.4097952,12.9718767
"node/30232550",52.3945735,13.0136905
"node/30232718",52.3917908,13.0672397
"node/30245150",52.6886604,13.2886929
"node/30248361",52.7448349,13.4662163
"node/30257444",50.8155542,12.8430079
"node/30268974",52.9042351,13.537477
"node/30343549",49.833299,8.4893924
"node/30345429",48.5521721,8.9630346
"node/30353795",52.3236224,13.1392051
"node/30353880",50.1153052,8.6712366
"node/30389957",52.303736,12.9641369
"node/30606376",50.1226251,8.6455438
"node/30622742",50.113636,8.6689503
"node/30688290",52.5662755,13.5124988
"node/30688292",52.572982,13.5038322
"node/30717143",49.9806657,9.1438818
"node/30729855",49.7530667,8.4903388
"node/30739613",52.4242122,13.3746844
"node/30751055",50.1994882,8.6702584
"node/30818314",52.3928748,12.9269844
"node/30821659",52.375746,12.4215881
"node/30883062",50.1285885,8.6298175
"node/30892154",50.1530731,7.1667697
"node/30892242",50.1799182,7.299705
"node/30892363",50.300439,7.4605988
"node/30896623",52.8653496,9.6012119
"node/30899311",49.9933235,8.2782697
"node/30899493",50.3282279,10.2261015
"node/30903112",50.4244694,10.3066804
"node/30906669",49.0110627,9.152005
"node/30909371",48.627868,9.342652
"node/30918873",48.2119161,12.5891279
"node/30918935",48.1302427,12.5730935
"node/30919064",48.0239357,12.7449312
"node/30922188",49.9877543,8.3995396
"node/30923017",50.0368029,8.6053613
"node/30925453",47.9532932,12.8317966
"node/30947646",50.143725,8.5607374
"node/30947652",50.1546433,8.5467913
"node/30947893",50.1431713,8.5041132
"node/30959386",49.3732184,8.0743336
"node/30959448",49.4175653,7.9944462
"node/30959690",49.4359851,7.7689299
"node/31048718",52.4672622,13.4314659
"node/31077761",51.532554,12.1662681
"node/31079801",50.1277169,8.7257257
"node/31079818",50.1336289,8.7411615
"node/31086812",53.2333987,8.8182576
"node/31087358",53.226606,8.9154764
"node/31097851",48.8847725,8.5086506
"node/31172814",50.5773213,7.2297079
"node/31172863",50.6029448,7.2196617
"node/31191211",50.0136685,8.0569092
"node/31207787",52.5115148,13.3052393
"node/31207789",52.517387,13.306588
"node/31263704",50.120065,8.7135633
"node/31263705",50.1242674,8.7180761
"node/31263709",50.1124459,8.7070817
"node/31308757",53.9389493,12.1179181
"node/31328482",53.0785165,10.573915
"node/31485882",50.0652487,11.5522948
"node/31485922",49.9498313,11.5798173
"node/31485930",50.0277334,11.5662468
"node/31507953",53.852561,9.6807433
"node/32124614",50.5284638,11.961153
"node/32125320",50.4187761,11.9609136
"node/32127148",49.8699667,11.7763403
"node/32127920",49.849743,11.6283006
"node/32128229",49.6266426,11.5517052
"node/32520446",51.4518015,12.6368329
"node/32828690",53.5150049,13.9892981
"node/32863019",53.0765413,12.3339439
"node/32863636",52.7534082,13.0399856
"node/32879635",51.9206223,11.810498
"node/32880442",51.4024585,12.2221962
"node/32881709",52.3386172,11.7597095
"node/32881716",52.6676295,11.5948789
"node/32881718",52.751537,11.4837956
"node/32881721",52.8582934,11.1611006
"node/32881722",52.8690357,10.89041
"node/32881724",52.8926052,10.655688
"node/32911801",53.6180213,8.7414279
"node/32911848",53.6303723,8.8279184
"node/32912570",52.9424017,12.3909777
"node/32922440",49.9818144,8.7497004
"node/32922509",50.0149329,8.689171
"node/32972254",49.4697537,10.9899358
"node/33070435",53.5873864,10.0449416
"node/33377426",50.0261374,8.7931028
"node/33377435",50.0601176,8.8021509
"node/33640346",50.1210733,8.9292147
"node/33648231",49.1385945,10.0649528
"node/33648505",49.252063,10.2985627
"node/33712151",47.6145558,10.6204675
"node/33712152",47.570733,10.6967299
"node/33712781",52.5246787,14.1005512
"node/33779622",47.8613552,11.283659
"node/33836725",51.4798304,11.2943896
"node/34003277",49.2733225,11.4566709
"node/34005244",48.8768797,12.5749261
