station_id,hwy_id,distance_m_hwy
00006210-0037-4444-8888-acdc00006210,node/253128361,21280.87
00016899-3247-4444-8888-acdc00000007,node/243782276,13404.52
00041414-208c-4444-8888-acdc00000414,node/322795890,3988.91
00047369-0001-4444-8888-acdc00000001,node/32561062,9611.77
00060001-d387-4444-8888-acdc00000001,node/456416,16756.56
00060015-0090-4444-8888-acdc00000090,node/276278605,26449
00060029-0003-4444-8888-acdc00000003,node/1600340866,1962.87
00060039-63ad-4444-8888-acdc00000001,node/17182206,25923.44
00060054-0001-4444-8888-acdc00000001,node/177661242,32074.38
00060055-0001-4444-8888-acdc00000001,node/33384635,13086.16
00060059-0004-4444-8888-acdc00000004,node/86956838,18476.96
00060062-0001-4444-8888-acdc00000001,node/115977926,3735.17
00060065-7890-4444-8888-acdc00000004,node/285132005,5524.61
00060072-0001-4444-8888-acdcffffffff,node/1687053675,10306.9
00060073-0002-4444-8888-acdcffffffff,node/177469506,12524.49
00060075-0001-4444-8888-acdc00000001,node/1400934674,11425.04
00060084-0001-4444-8888-acdc00000001,node/26969715,4867.14
00060092-0001-4444-8888-acdc00000001,node/95635461,35030.18
00060105-0001-4444-8888-acdc00000001,node/89112084,19382.68
00060117-0001-4444-8888-acdcffffffff,node/243713,3973.82
00060145-0001-4444-8888-acdc00000001,node/456759,9246.74
00060151-0001-4444-8888-acdc00000001,node/183782882,25334.56
00060157-0001-4444-8888-acdc00000001,node/36436558,5730.87
00060158-0001-4444-8888-acdcffffffff,node/108291272,10740.76
00060162-0001-4444-8888-acdc00000001,node/59822486,7526.9
00060166-0002-4444-8888-acdc00000002,node/9917638871,17614.1
00060240-0001-4444-8888-acdc00000003,node/331836438,2407.86
00060247-0001-4444-8888-acdcffffffff,node/1631842529,7733.54
00060266-0001-4444-8888-acdc00000001,node/253128361,34822.24
00060277-0005-4444-8888-acdc00000005,node/515445,13486.48
00060280-0004-4444-8888-acdcffffffff,node/1374760126,7872.23
00060281-0001-4444-8888-acdc00000001,node/21532630,21922.94
00060282-9715-4444-8888-acdc00000001,node/21968947,9833.4
00060283-0001-4444-8888-acdc00000001,node/26969715,4539.85
00060301-0001-4444-8888-acdc00000001,node/268109228,16100.21
00060306-0001-4444-8888-acdc00000001,node/26194484,13597.94
00060332-0001-4444-8888-acdc00000001,node/268109228,24654.9
00060336-0001-4444-8888-acdc00000001,node/129955551,25254.3
00060378-0001-4444-8888-acdc00000001,node/47930429,2719.4
00060401-3125-4444-8888-acdc00000001,node/129955573,5466.37
00060438-ab8e-4444-8888-acdc00000001,node/292287819,18375.75
00060446-0001-4444-8888-acdc00000001,node/269395636,2693.04
00060453-0001-4444-8888-acdc00000001,node/256088318,2366.89
00060457-0001-4444-8888-acdc00000001,node/2363191326,8418.96
00060476-9664-4444-8888-acdc00000001,node/26969715,6795.85
00060494-0001-4444-8888-acdc00000001,node/457046,12219.58
00060511-7d46-4444-8888-acdc00000001,node/292872709,9172.71
00060514-0001-4444-8888-acdc00000001,node/73435972,12409.24
00060544-98c5-4444-8888-acdc00000001,node/2363191326,15525.4
00060547-15c9-4444-8888-acdc00000002,node/129962539,7732.58
00060548-0002-4444-8888-acdc00000002,node/277793706,31482.02
00060550-0003-4444-8888-acdc00000003,node/659793037,3451.65
00060551-95cd-4444-8888-acdc00000003,node/302613849,4380.48
00060562-0001-4444-8888-acdc00000001,node/500106,2900.32
00060568-0001-4444-8888-acdc00000001,node/60905675,5720.41
00060569-0011-4444-8888-acdcffffffff,node/253115817,26655.54
00060584-0002-4444-8888-acdc00000002,node/1582801738,4266.32
00060585-0003-4444-8888-acdc00000003,node/3147492386,2317.84
00060588-0001-4444-8888-acdc00000001,node/265698326,21027.83
00060592-0001-4444-8888-acdc00000001,node/27409406,10541.14
00060594-0001-4444-8888-acdc00000001,node/2356229884,21199.19
00060595-0001-4444-8888-acdc00000001,node/1559194374,3877.04
00060599-0002-4444-8888-acdc00000002,node/235977,9621.29
00060613-0004-4444-8888-acdc00000004,node/1600340866,11536.63
00060632-708f-4444-8888-acdc00000001,node/2356229785,5625.88
00060636-0067-4444-8888-acdc00000067,node/1601552594,4929.09
00060644-0001-4444-8888-acdc00000001,node/319321610,14647.69
00060664-0001-4444-8888-acdc00000001,node/1553823314,10117.53
00060671-0066-4444-8888-acdc00000066,node/1596690078,9213.33
