station_id,train_id,distance_m_train
00006210-0037-4444-8888-acdc00006210,node/1042032307,52395.35
00016899-3247-4444-8888-acdc00000007,node/3563817193,24680.84
00041414-208c-4444-8888-acdc00000414,node/777800953,17542.4
00047369-0001-4444-8888-acdc00000001,node/274538121,28559.52
00060001-d387-4444-8888-acdc00000001,node/259606807,18436.79
00060015-0090-4444-8888-acdc00000090,node/8240032888,34266.75
00060029-0003-4444-8888-acdc00000003,node/2772019619,11799.74
00060039-63ad-4444-8888-acdc00000001,node/290577447,33659.34
00060054-0001-4444-8888-acdc00000001,node/277696245,39139.09
00060055-0001-4444-8888-acdc00000001,node/42042357,28767.5
00060059-0004-4444-8888-acdc00000004,node/277696245,23480.56
00060062-0001-4444-8888-acdc00000001,node/1075475407,8189.79
00060065-7890-4444-8888-acdc00000004,node/6177192107,27469.18
00060072-0001-4444-8888-acdcffffffff,node/454630497,19327.12
00060073-0002-4444-8888-acdcffffffff,node/454630497,26307.93
00060075-0001-4444-8888-acdc00000001,node/2291493148,76051.19
00060084-0001-4444-8888-acdc00000001,node/259606807,51911.93
00060092-0001-4444-8888-acdc00000001,node/528985601,11705.84
00060105-0001-4444-8888-acdc00000001,node/1042032305,25436.1
00060117-0001-4444-8888-acdcffffffff,node/42042357,21885.28
00060145-0001-4444-8888-acdc00000001,node/1042032373,8686.34
00060151-0001-4444-8888-acdc00000001,node/8240032888,22529.23
00060157-0001-4444-8888-acdc00000001,node/42042357,21115.05
00060158-0001-4444-8888-acdcffffffff,node/4533336883,29032.58
00060162-0001-4444-8888-acdc00000001,node/454630497,37563.47
00060166-0002-4444-8888-acdc00000002,node/177219959,34075.7
00060240-0001-4444-8888-acdc00000003,node/2300621758,26721.63
00060247-0001-4444-8888-acdcffffffff,node/6176460414,51726.38
00060266-0001-4444-8888-acdc00000001,node/1042032307,38015
00060277-0005-4444-8888-acdc00000005,node/277696245,50963.5
00060280-0004-4444-8888-acdcffffffff,node/454630497,56883.11
00060281-0001-4444-8888-acdc00000001,node/497509379,56271.23
00060282-9715-4444-8888-acdc00000001,node/259606807,13432.13
00060283-0001-4444-8888-acdc00000001,node/259606807,51584.65
00060301-0001-4444-8888-acdc00000001,node/274538121,16223.34
00060306-0001-4444-8888-acdc00000001,node/497509379,12461.77
00060332-0001-4444-8888-acdc00000001,node/274538121,7589.72
00060336-0001-4444-8888-acdc00000001,node/177219959,25406.18
00060378-0001-4444-8888-acdc00000001,node/416821576,35630.8
00060401-3125-4444-8888-acdc00000001,node/258359098,51838.23
00060438-ab8e-4444-8888-acdc00000001,node/1710093507,45099.66
00060446-0001-4444-8888-acdc00000001,node/6176460414,28967.67
00060453-0001-4444-8888-acdc00000001,node/4441659208,46283.91
00060457-0001-4444-8888-acdc00000001,node/1042032305,52748.82
00060476-9664-4444-8888-acdc00000001,node/259606807,53840.64
00060494-0001-4444-8888-acdc00000001,node/1991761923,60687.38
00060511-7d46-4444-8888-acdc00000001,node/276065649,41772.89
00060514-0001-4444-8888-acdc00000001,node/286541750,27183.04
00060544-98c5-4444-8888-acdc00000001,node/497509379,47360.14
